comment_text,toxic
you have yet to identify where my edits violated policy.  4 july 2005 02:58 (utc),0
"""
 as i have already said,wp:rfc or wp:ani. (talk→  ←track) """,0
"your vote on wikiquote simple english when it comes to using sysop tools i am not clueless because i have a site that is on wikipedia that tells me how to use them. i understand being a sysop does not make you better than everyone else. will you please reconsider your vote. also i have time to practice using my tules before i will have to use them for real. i will practice protecting pages by protecting, then unprotecting my user page. i will delete, and then undelete my talk page. i will make a account, then block it. i will make a edit on my user page and then revert it. please reconsider. have a nice week and god bless.",0
your stalking of my edits i've opened a thread on you stalking my edits: .,0
straight from the smear site itself. the person called a dissident is someone i have never even heard of. pathetic!,1
"no, i can't see it either - and i've gone back through the history to 9 dec 2013, so the ip isn't seeing an old version, unless it is over 4 months old.  - i'll mark as answered  -",0
"tan, cut out the disingenuous (read: untrue) citing of ratel's disagreement when he is clearly in agreement with my opinion. do this again, you will be blocked from my adoration due your foolishness.where did ratel disagree with anything i cited him as saying?  have a verifiable source of me saying he said anything he did not?  if not, please don't call me disingenuous. much love,",0
"oh, trying to be a suckup to klptyzm huh? well buddy, from the looks of it i wouldn't be suprised if you were only 11 years old. pal.",1
"""no prob,  —  (tαlκ) 04:40, 6 dec 2004 (utc)""",0
"| b1  = 
| b2  = 
| b3  = yes
| b4  = yes
| b5  = 
| b6  =",0
thank you for pointing out why you did it. more than one user uses this account and i didn't know what edits they may have done. that's why i was confused about the message on my user page. thanks.,0
"regional difference
i know there are regional differences according to linguistics, though i don't know the specific papers. i would like to see a section dedicated to that as well.",0
"""please refrain from adding nonsense to wikipedia, as you did to merle allin. it is considered vandalism. if you would like to experiment, use the sandbox. please stop. if you continue to vandalize pages, as you did to rats of unusual size, you will be blocked from editing wikipedia.    (talk)  """,0
"""welcome to wikipedia, the free encyclopedia! you don't have to log in to read or edit articles on wikipedia, but creating an account is quick, free and non-intrusive, requires you to provide no personal information, and gives you many benefits, including:
the use of a username of your choice
the ability to view all your contributions via a """"my contributions"""" link 
your own user page 
your own talk page which, if you choose, also allows users to send you messages without knowing your e-mail address
the use of your own personal watchlist to which you can add articles that interest you
the ability to rename pages
the ability to upload images 
the ability to customize the appearance and behavior of the website
the eligibility to become an administrator 
the right to be heard in formal votes and elections, and on pages like votes for deletion
your ip address will no longer be visible to other users.we hope that you choose to become a wikipedian and  create an account.  00:28, jun 2, 2005 (utc)""",0
"move to illinois i was under the impression thomas lincoln relocated to illinois at the behest of his first wife's relation, john hanks, not his stepson, john johnston (cf. donald, 36).  unless someone has different information, i'll change the entry next week.",0
"is that a joke, or do you actually believe he will contribute a neutral point of view? serious question. -chris 76.105.223.232",0
"""proposed merge
the article movie making software contains content which properly belongs in the video editing software. """"movie making software"""" appears to be an idiosyncratic or slang term for """"video editing software"""".  """,0
"http://www.reuters.com/article/2011/06/09/us-fda-prostate-idustre7585kz20110609the fda has finally come forward and stated that 5-aris (including finasteride) increase the risk of aggressive forms of prostate cancer based on a randomized study of 5 million patients.  due to this recent conclusion, section 1.3 needs to be revised immediately.  i would feel better if somebody more experienced than myself were to rewrite the section.  if somebody were to do this, i would be greatly appreciative otherwise i'll give it in a go in a day or two.",0
i think they're very outdated. think it's worth updating them (400 and 600)?,0
kon dotty only in wiki u can have a nair surname.badluck.pray for next life..,0
"deletion of seinfeld article 
the reverse peepholeplease reinstate this article. this is the only missing episode out of around 180 episodes.",0
addendum: on the white guilt page the opening line is as follows: [white guilt is the...] often said [to be felt...]   who is a frequent (and most recent) editor of that page? user malik shabazz.,0
"""chris daly part trois
a reply to the message you left on my """"talk"""" page (if everyone calls them """"talk"""" pages, then why does the tab always say """"discussion""""?):well, first of all, it's not my """"personal summary""""; i didn't even write the paraphrase. but the salient point is that certain editors feel there's something sacrosanct about the m&r; quote, which is ludicrous. this is not a public official being quoted, nor a well-known source, but a couple of newspaper columnists who are paid, after all, to dig dirt and dish. hardly encyclopedic stuff, i'd say. also sounds like you, or some of the other editors defending this, have an anti-daly agenda they'd like to work in here if possible. look, the original source material is only a couple of clicks away for those who are interested, and there's plenty of other hot stuff there about daly's behavior as it is; what's the big deal? + """,0
""" re: blocked i agree with the block, we were edit warring, but i've never called him like you wrote. i must object to it. i fully respected the block and i didn't try to evade it, but he did not , i reverted it back and i appealed him to discussion on the talk page as you advised. ≈talk≈ """,0
i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers! i blocked revers!,1
it is a mistake srry,0
